,Question,Out-of-doc,Topic,notes,Answers
0,How do I use the SDK to upload a ranking model?,,,,I don't know the answer.
1,What drift metrics are supported in Arize?,,,,"Arize supports drift metrics such as Population Stability Index (PSI), KL Divergence, and Wasserstein Distance."
2,Does Arize support batch models?,,,,"Yes, Arize supports batch models."
3,Does Arize support training data?,,,,"Based on the given context, it is not explicitly mentioned whether Arize supports training data or not. Therefore, I don't know the answer to this question."
4,How do I configure a threshold if my data has seasonality trends?,,,,"To configure a threshold for data with seasonality trends, you can use the automatic threshold feature provided by Arize. The automatic threshold sets a dynamic value for each data point based on at least 14 days of production data to determine a trend. This allows the threshold to adapt to the seasonal patterns in your data. Alternatively, you can also create a custom threshold and adjust it based on your understanding of the seasonality trends in your data."
5,How are clusters in the UMAP calculated? When are the clusters refreshed?,,,,"Clusters in UMAP are calculated using an unsupervised learning technique, which means that the algorithm finds patterns and structure in the data on its own. The clusters are refreshed whenever there is a change in the data or when the user generates a new UMAP visualization."
6,How does Arize calculate AUC?,,,,The provided context does not mention how Arize calculates AUC.
7,Can I send truth labels to Arize separtely? ,,,,"Yes, you can send truth labels to Arize separately."
8,How do I send embeddings to Arize?,,,,"There are two ways to send embeddings to Arize. You can either generate your own embeddings and send them to Arize using the UI or the Monitors API, or you can let Arize generate the embeddings for you by using the Auto-Embeddings functionality in the Python SDK."
9,Can I copy a dashboard,,,,"Yes, you can copy a dashboard."
10,Can I copy a dashboard to a new space? ,,,,"Yes, you can copy a dashboard to a new space."
11,How do I configure permissions for GBQ? ,,,,"To configure permissions for Google BigQuery (GBQ), you need to grant access to the Arize service account. This can be done by following these steps:

1. Go to the IAM page in GBQ and click ""Grant Access"".
2. Add the Arize service account as the ""Principal"" with the ""BigQuery Job User"" role.
3. Navigate to your dataset from the BigQuery SQL Explorer page.
4. Select ""Sharing"" and click on ""Permissions"".
5. Click ""Add Principal"" and add the Arize service account ([email protected]) as a BigQuery Data Viewer, then click ""Save"".
6. To grant the roles/bigquery.jobUser role to the Arize service account, you can use the command ""gcloud projects add-iam-policy-binding ${PROJECT_ID} --member=serviceAccount:[email protected] --role=roles/bigquery.jobUser"".
7. To grant the roles/bigquery.dataViewer role, you can refer to the official documentation for granting access.

Please note that these steps may vary depending on your specific setup and requirements. It's always recommended to refer to the official documentation or reach out to Arize support for assistance."
12,How often does Arize query the table for table import jobs? ,,,,Arize queries the table for table import jobs based on the configured refresh interval.
13,Can you configure the query interval for table import jobs? ,,,,"Yes, you can configure the refresh interval for table import jobs."
14,Do you need to have a prediction label for classification models? ,,,,"Yes, you need to have a prediction label for classification models."
15,Do you need a prediction ID for the training set? ,,,,"No, a prediction ID is not needed for the training set."
16,How do you set up pagerduty alerts? ,,,,"To set up PagerDuty alerts, you can go to the 'Integrations' tab in your organization settings or the 'Config' tab within a model. From there, you can select PagerDuty as the integration and follow the steps to set up the API integration."
17,Does the ingestion job for GBQ tables detect changes in the table schema? ,,,in customer's words,"Based on the given context, it is not mentioned whether the ingestion job for GBQ tables detects changes in the table schema."
18,How do I send in extra metadata with each record?,,,,I don't know the answer.
19,"What is the current retention period of the data in Arize (if any), and can we customise this? (e.g. could we choose to set a specific retention period of, say 90-days, so that all data older than 90 days is deleted from Arize systems?)",,,in customer's words,The context does not provide information about the current retention period of the data in Arize or whether it can be customized.
20,"Does Arize store the individual records (rows) somewhere, or does it only store the aggregations calculated from the data?",,,in customer's words,"Based on the given context, it is not explicitly mentioned whether Arize stores individual records (rows) or only the aggregations calculated from the data."
21,What happens if I upload actuals twice? ,,,,"If you upload actuals twice, you may run into problems visualizing your data within the platform. It is recommended to revise your data to represent unique ranks for a given prediction group and re-upload your data."
22,What format should the prediction timestamp be? ,,,,The prediction timestamp can be in seconds or an RFC3339 timestamp format.
23,How often do the monitors run and evalaute? ,,,,The provided context does not specify how often the monitors run and evaluate.
24,Do we have the ability to resolve a monitor? ,,,,"Yes, we have the ability to resolve a monitor."
25,Does Arize support Microsoft Teams alerting?,x,,,I don't know if Arize supports Microsoft Teams alerting.
26,What should I do if I sent in duplicate prediction IDs? ,,,,"If you sent in duplicate prediction IDs, you should revise your data to ensure that each prediction ID is unique for a given prediction group. Re-upload your data after making the necessary revisions."
27,Why does Arize use UMAP over t-SNE? ,,,,Arize uses UMAP over t-SNE because UMAP maintains both local and global structures in high-dimensional datasets and scales better than other dimension reduction techniques.
28,Can I export a dashboard as pdf? ,,,,I don't know.
29,How does Arize's surrogate explainability model work? ,,,,Arize's surrogate explainability model works by training an interpretable model to approximate the predictions of a black box model. This surrogate model is then used to generate SHAP values when the black box model is not available. The goal is to closely approximate the predictions of the black box model and generate feature importance values from the interpretable surrogate model.
30,Can I update my predictions or features on Arize? ,,,,"Based on the given context, it is not clear whether you can update your predictions or features on Arize."
31,What happens if my model schema changes after I deploy a new version of the model? ,,,,"If your model schema changes after you deploy a new version of the model, you may need to update the corresponding columns and data in the Arize UI to ensure that the new schema is accurately represented."
32,How does Arize integrate with SageMaker?,,,,"Arize integrates with SageMaker by enabling developers to create, train, and deploy machine-learning models in the cloud. It also allows users to monitor and observe models deployed on SageMaker for data quality issues, performance checks, and drift."
33,Does the ingestion job for GBQ tables detect changes in schema?,,,,"Based on the given context, it is not explicitly mentioned whether the ingestion job for GBQ tables detects changes in schema."
34,Can I configure the Arize data sampling policy?,,,,"Based on the given context, it is not clear whether you can configure the Arize data sampling policy."
35,about how long should it take for delayed actuals to link to predictions in the UI,,,,"The delayed actuals should link to predictions in the UI within the join window, which is up to 14 days from when the prediction was received."
36,Can I change strings to numeric in Arize?,,,,"Based on the given context, it is not clear whether Arize supports changing strings to numeric."
37,What is the definition of a model or a prediction in Arize?,,,,"Based on the given context, the definition of a model or a prediction in Arize is not explicitly provided."
38,How do I pass in delayed ground truth? ,,,,"To pass in delayed ground truth, you can utilize the Arize joiner to match the delayed actuals with their corresponding predictions. Simply upload your actuals data using the same prediction_id as its corresponding prediction. The joiner will automatically trigger daily at 05:00 UTC to map the delayed actuals with the predictions received up to 14 days prior."
39,Can I pass in my own metrics within Arize?,,,,"Yes, Arize supports custom metrics, which allow users to define their own metrics tailored to their specific machine learning needs. These custom metrics can be used across the platform in dashboards, monitors, and performance tracing. Users can derive new metrics using a combination of existing model dimensions and functions using the Arize Query Language, which is similar to SQL. The custom metric editor provides syntax validation, auto-completion of dimension names, and a preview of the query before saving it."
40,How large should my file sizes be when uploading data? ,,,,Files around the 50MB mark usually provide the best balance between volume of data and system performance.
41,How long does it take to ingest my data? ,,,,It can take approximately 10 minutes for Arize to fully ingest and populate data throughout the platform.
42,How do I edit the frequency that my table import job runs? ,,,,I don't know the answer to that question.
43,What permissions are needed to import my files from cloud storage? ,,,,"The permissions needed to import files from cloud storage vary depending on the cloud storage provider. For Azure Blob Storage, you need to share the storage account name and access key with Arize. For Google Cloud Storage (GCS), you need to grant Arize access to your bucket. For AWS S3, you can either configure an individual bucket policy or assign Arize a role to access multiple buckets using external IDs."
44,How do I grant permissions to import my GBQ table? ,,,,"To grant permissions to import your GBQ table, you need to navigate to the IAM page and click ""Grant Access"". Then, add the Arize service account as the ""Principal"" with the ""BigQuery Job User"" role. Additionally, you need to grant access to your dataset, table, or view by selecting ""Share"" and clicking on ""Permissions"". Add the Arize service account as a BigQuery Data Viewer and save the changes."
45,Does Arize ingest null values?,,,,"Yes, Arize generally accepts null values within prediction and actual columns."
46,Which file or dataframe columns can be null?,,,,"Based on the given context, it is not explicitly mentioned which file or dataframe columns can be null. Therefore, it is not possible to determine which columns can be null."
47,What file types are supported for cloud storage uploads?,,,,The file types supported for cloud storage uploads are Parquet files.
48,Is prediction_id required?,,,,"Yes, prediction_id is required."
49,How do I need to format timestamps?,,,,The prediction timestamp can be formatted in seconds or as an RFC3339 timestamp.
50,Why do I need a timestamp?,,,,"You need a timestamp to track and analyze the timing of your predictions. The timestamp allows you to understand when the prediction was made and compare it to the actual outcome. It is especially important for time series models where the forecast date and lag are crucial in analyzing the performance of the model. Additionally, the timestamp is used to generate time series charts in Arize."
51,What time unit is a timestamp?,,,,A timestamp is typically measured in seconds.
52,Does Arize support timestamps that are pandas format?,,,,"Based on the given context, it is not explicitly mentioned whether Arize supports timestamps in pandas format. Therefore, the answer is ""I don't know."""
53,Can I create any string format that is a timestamp?,,,,"No, you cannot create any string format that is a timestamp. The timestamp format should either be in seconds or in RFC3339 format."
54,Can I send latent groundtruth for ranking models?,,,,I don't know.
55,Does I Arize count duplicate prediction IDs as a single prediction? ,,,,"No, Arize counts duplicate prediction IDs as separate predictions."
56,Does Arize sample the data on ingestion of files?,,,,"Based on the given context, it is not mentioned whether Arize samples the data on ingestion of files."
57,When connecting to a table is the data copied into Arize or does Arize just run off of the table?,,,,Arize runs off of the table.
58,Is the entire data set copied when connecting to data in files?,,,,"No, the entire data set is not copied when connecting to data in files."
59,How long does it take for data to show up in the platform?,,,,I don't know.
60,Does Arize support PSI as a drift metric?,,,,"Yes, Arize supports PSI as a drift metric."
61,Arize help,,,,I don't know the answer.
62,Dataset not showing up,,,,I don't know the answer.
